Id,Titol,Any,Duracio (min),Pais,Direcció,Guió,Música,Fotografia,Productora,Repartiment,Gènere,Nota,Num. vots,Web
224592.0,Laura (TV Series),1998.0,50.0,España,"['Sònia Sánchez', 'Dani Ventura']","['Piti Español', 'Carmen Abarca', 'Mercè Sarrias', 'Pau Garsaball', 'Marta Molins', 'Xesc Barceló']",['Joan Albert Amargós'],['NA'],['Televisió de Catalunya (TV3)'],"['Pere Arquillué', 'Abel Folk', 'Àgata Roca', 'Lloll Bertran', 'Roger Coma', 'Bernat Quintana', 'Ferran Rañé', 'Sara Loscos', 'Anna Lizaran', 'Eduard Fernández', 'Èlia Morera', 'Anna Azcona']","[['Serie de TV'], ['Drama']]","5,2",34.0,https://www.filmaffinity.com/es/film224592.html
149886.0,El sótano (S),1998.0,12.0,España,['Hugo Stuven'],['Hugo Stuven'],['José Negrete'],['Rafael Bolaños'],['El Mirón Films S.L'],"['Carlos Castel', 'Duna Jové', 'Rebeca Cobos', 'Lara de Miguel', 'Manuel Feijóo', 'Antonio Hortelano']",[['Terror']],"3,3",27.0,https://www.filmaffinity.com/es/film149886.html
434236.0,La isla del infierno,1998.0,90.0,España,['Javier F. Caldas'],['Javier F. Caldas'],['Raúl Capote'],['Juan A. Castaño'],['Caldas y Caldas F.C'],"['José Conde', 'Pablo Scola', 'Arturo Soriano', 'Rogelio Quintana']",[['Aventuras']],"3,0",25.0,https://www.filmaffinity.com/es/film434236.html
470596.0,Lorca,1998.0,32.0,España,['Iñaki Elizalde'],"[""Miguel D'Ors"", 'Iñaki Elizalde', 'Patxi Laborda', 'Jaione Vicente']",['Mikel Salas'],['Javier Aguirresarobe'],['Grupo Cine Arte / Triper & Zapin Asociados S.L.'],"['Miguel Bosé', 'Juan Diego', 'Txema Blasco', 'Klara Badiola', 'Ane Miren Vigo', 'Álex Angulo', 'Saturnino García', 'Javier Ibáñez', 'Cristina Rekalde', 'Inmaculada Jiménez', 'Patxi Ribera', 'Peio Yaben']",[['Drama']],"5,2",25.0,https://www.filmaffinity.com/es/film470596.html
578034.0,¡Qué vecinos tan animales!,1998.0,69.0,España,['Maite Ruiz de Austri'],"['Maite Ruiz de Austri', 'Ion Etxebeste']",['José Carlos Mac'],"['Animation', 'Fernando Moreiro']",['Extra Extremadura de Audiovisuales S.A'],['Animation'],"[['Animación'], ['Infantil']]","5,4",23.0,https://www.filmaffinity.com/es/film578034.html
168668.0,"Cariño, he enviado a los hombres a la luna",1998.0,83.0,España,"['Marta Balletbó-Coll', 'Ana Simón Cerezo']","['Marta Balletbó-Coll', 'Ana Simón Cerezo']","['Emili Remolins', 'Xavier Martorell']",['Sergi Gallardo'],['Costa Brava Films'],"['Marta Balletbó-Coll', 'Esperanza López Franco', 'Montserrat Gausachs', 'Anna Bosch', 'Desi del Valle', 'Roberto Beceiro', 'Andrew Paul Booth', 'Xavier Garriga', 'Victoria Arenales', 'Ingebor Sandra Freida Bertholder Ladd', 'Kathryn Boddy', 'Helena Carrión', 'Emil Remolins Casas', 'Josep Compte', 'Mar Cortés', 'Meritxell Duró']","[['Comedia'], ['Ciencia ficción']]",,,https://www.filmaffinity.com/es/film168668.html
824379.0,Bert,1998.0,119.0,España,['Lluís Casasayas'],['Lluís Casasayas'],"['Francisco Aguilo', 'Miquel A. Aguiló']",['NA'],['Siurell Produciones Cinematográficas y de Televisión S.L'],"['Fermí Reixach', 'Mercedes Sampietro', 'Marika Lagercrantz', 'Simón Andreu', 'Aina Compte', 'Maria Reus', 'Baltasar Cortés']",[['Drama']],,,https://www.filmaffinity.com/es/film824379.html
232548.0,Bomba de relojería,1998.0,82.0,España,['Ramón Grau'],['Ramón Grau'],['Mark Crowling'],['Xavi Giménez'],['Cinecito F.L.'],"['Lorenzo Quinn', 'Silvia Tortosa', 'Joan Massotkleiner', 'Eva Santolaria', 'Biel Duran', 'Juncal Rivero', 'Luis Ferrer', 'Merce Montala', 'Magi Gausachs', 'Jordi Rabella', 'Salva Mayolas', 'Xavi Gimenez', 'Joan Pona', 'Roser Vilella', 'Jemi Paretas', 'Sarka Roubova', 'Esther Solsona', 'Xavi Moreno', 'Ramon Grau']",[['Thriller']],,,https://www.filmaffinity.com/es/film232548.html
255141.0,Apuntes para un retrato,1998.0,56.0,España,['Abel García Roure'],['Abel García Roure'],['NA'],['NA'],['Pío Lluís Vernís'],['Documentary'],[['Documental']],,,https://www.filmaffinity.com/es/film255141.html
561298.0,Plaza Alta (TV Series),1998.0,,España,"['Tito Rojas', 'Francisco Fernández Franco', 'Carlos Ruz', 'Leo Vega']","['Enrique Díaz', 'Antonio Onetti (Idea: Eduardo Galdo', 'Salvador Perpiñá', 'Leslie Wilhelmi. Historia: Fátima Martín', 'María Helena Portas', 'Arturo Cid', 'Tacho González)']","['José Luis Chicote', 'Arturo Cid']",['NA'],['Canal Sur Televisión / Linze Televisión S.A.'],"['Carolina Bassecourt', 'Alex Cañedo', 'Daniel Ortiz Entrambasaguas', 'Máximo Valverde', 'Lucina Gil', 'Raquel Infante', 'Alberto Ávila', 'Aníbal Soto', 'José Manuel Seda', 'Richard Henderson', 'Cuca Escribano', 'Manuel Salas', 'María Alfonsa Rosso', 'José Luis García Pérez', 'Gloria de Jesús', 'María José Sánchez', 'Rafael Galán', 'Belén López-Puigcerver', 'John Merino', 'Miguel Alcíbar', 'Pedro Alonso', 'Jordi Amat', 'Ignacio Andreu', 'Ricardo Arroyo', 'Ángel Baena', 'José Chaves', 'María Delgado', 'Eduardo Duro', 'Marta Díez', 'Silvia Espigado', ""José Luis Fernández 'Pirri'"", 'Patricia Fernández', 'Miguel Ferrari', 'Antonio Garrido', 'Nacho Gómez', 'Elena Iniesta', 'Laura Lara', 'Paloma Manzano', 'Victoria Mateos', 'Rocío Montero', 'Miriam Montilla', 'Isabel Osca', 'Rafael Padilla', 'Sole Palmero', 'Sebastián Ponce', 'José Rodríguez Quintos', 'Jorge Román', 'Juan Sanchez', 'Mercedes Hoyos', 'Marisol Membrillo', 'Rosario Pardo', 'Joaquín Perles']","[['Serie de TV'], ['Drama'], ['Romance']]",,,https://www.filmaffinity.com/es/film561298.html
778043.0,Confluencias,1998.0,33.0,España,['Pilar García Elegido'],"['Pilar García Elegido', 'Ana Rubio Isabel', 'Fernando Costilla Castejón']",['NA'],['Rafael García Vázquez'],['Habana Producciones Audiovisuales / ICAIC'],['Documentary'],[['Documental']],,,https://www.filmaffinity.com/es/film778043.html
140308.0,Sueño de luces,1998.0,98.0,España,['Antonio García Molina'],['Antonio García Molina'],"['Ricardo Carrión', 'Héctor Oziel']",['Javier Cruz Jr.'],['Productora Fílmica Real'],"['Julián López “El Juli”', 'Pedro Romo', 'Pablo Ferrel', 'Paco Ibáñez', 'Ricardo Carrión', 'Julima Cardona', 'Arsenio Campos', 'Rosita Pelayo', 'Keyla Magaly']",[['Drama']],,,https://www.filmaffinity.com/es/film140308.html
358748.0,Los girasoles (S),1998.0,,España,"['José Lagares', 'Manuel Lagares']",['NA'],['NA'],['Animation'],[''],['Animation'],[['Animación']],,,https://www.filmaffinity.com/es/film358748.html
624512.0,Los dardos del amor (S),1998.0,21.0,España,"['Álvaro Pastor', 'David Pareja']",['Álvaro Pastor'],['David Hurtado'],['Jerónimo Molero (B&W)'],[''],"['Teresa Arbolí', 'Emilio Linder', 'Antonio Naharro', 'Susana Monje']","[['Drama'], ['Comedia']]",,,https://www.filmaffinity.com/es/film624512.html
